Unit,Finance_ID,Unit Name, FY 2021 Ending Budget , FY 2022 Proposed Budget , Budget  FY 22 V. FY 20 Ending , FY 2021 Budgeted Positions , FY 2022 Approved Positions , Positions FY 21 V. FY 20 , FY 2020 Ending Budget , FY 2020 Budgeted Positions , FY 2020 Annualized Budget , Budget Difference FY 21 V. FY 20 ,New Budget FTE
U29221,29221,Philip Murray Language Academy," 55,08,013 "," 52,19,886 "," (2,88,126)", 44 , 45 , 1 ," 48,43,839 ", 45 , -   ," (2,88,126)",45
U25141,25141,Philip Rogers School," 87,36,051 "," 88,07,425 "," 71,374 ", 77 , 85 , 8 ," 73,27,694 ", 71 , -   ," 71,374 ",85
U23671,23671,Phoebe Apperson Hearst School," 56,68,517 "," 55,03,509 "," (1,65,008)", 61 , 57 , (4)," 49,03,612 ", 58 , -   ," (1,65,008)",57
U55011,55011,Phoenix Military Academy," 75,89,800 "," 71,94,918 "," (3,94,882)", 57 , 57 , 0 ," 65,92,680 ", 55 , -   ," (3,94,882)",57.4
U31141,31141,Pilsen Community Academy," 44,03,054 "," 43,33,022 "," (70,032)", 46 , 46 , -   ," 40,04,289 ", 43 , -   ," (70,032)",46
U63021,63021,Plato Learning Academy," 34,12,274 "," 28,04,521 "," (6,07,752)", 3 , 3 , -   ," 35,70,474 ", 3 , -   ," (6,07,752)",3
U67081,67081,Polaris Charter Academy," 43,13,630 "," 49,59,200 "," 6,45,570 ", -   , -   , -   ," 43,82,918 ", -   , -   ," 6,45,570 ",0
U11220,11220,Policy and Procedures," 8,58,844 "," 15,58,352 "," 6,99,508 ", 4 , 7 , 3 , -   , -   , -   ," 6,99,508 ",7
U69101,69101,Pope John Paul II/Five Holy Martyrs," 82,934 ", -   ," (82,934)", -   , -   , -   ," 16,854 ", -   , -   ," (82,934)",0
U25011,25011,Portage Park Elementary School," 96,28,894 "," 93,63,961 "," (2,64,932)", 87 , 91 , 4 ," 88,17,658 ", 84 , -   ," (2,64,932)",91
U69627,69627,Prairie Academy," 10,694 ", -   ," (10,694)", -   , -   , -   , -   , -   , -   ," (10,694)",0
U10814,10814,Pre-K - 12 Curriculum," 3,25,11,788 "," 1,29,40,035 "," (1,95,71,753)", 36 , 34 , (2)," 1,77,16,940 ", 35 , -   ," (1,95,71,753)",34
U69324,69324,Prigrim Lutheran SchoolA," 48,322 ", -   ," (48,322)", -   , -   , -   , -   , -   , -   ," (48,322)",0
U02541,02541,Principal Quality," 80,04,499 "," 63,00,904 "," (17,03,595)", 48 , 38 , (10)," 76,74,932 ", 48 , -   ," (17,03,595)",38
U12210,12210,Procurement and Contracts Office," 25,38,329 "," 28,92,888 "," 3,54,559 ", 20 , 22 , 2 ," 24,81,531 ", 20 , -   ," 3,54,559 ",22
