,ward,year,size,crime_capita
360,33,2020,2060,0.037454545454545456
361,33,2021,2002,0.0364
362,33,2022,2368,0.043054545454545456
363,34,2012,9613,0.17478181818181818
364,34,2013,8712,0.1584
365,34,2014,7476,0.13592727272727273
366,34,2015,6898,0.12541818181818182
367,34,2016,6742,0.12258181818181818
368,34,2017,6890,0.12527272727272729
369,34,2018,6969,0.1267090909090909
370,34,2019,6706,0.12192727272727273
371,34,2020,6340,0.11527272727272728
372,34,2021,5944,0.10807272727272728
373,34,2022,5972,0.10858181818181818
374,35,2012,4368,0.07941818181818182
375,35,2013,3799,0.06907272727272727
376,35,2014,3247,0.05903636363636364
377,35,2015,3079,0.05598181818181818
378,35,2016,3398,0.06178181818181818
379,35,2017,3316,0.06029090909090909
380,35,2018,3231,0.058745454545454545
381,35,2019,2830,0.051454545454545454
382,35,2020,2495,0.04536363636363636
383,35,2021,2348,0.04269090909090909
384,35,2022,2525,0.045909090909090906
385,36,2012,3427,0.06230909090909091
386,36,2013,3049,0.05543636363636364
387,36,2014,2553,0.04641818181818182
388,36,2015,2750,0.05
389,36,2016,3007,0.054672727272727276
390,36,2017,2699,0.049072727272727275
391,36,2018,2677,0.04867272727272727
392,36,2019,2840,0.05163636363636363
393,36,2020,2528,0.045963636363636366
394,36,2021,2414,0.04389090909090909
395,36,2022,2715,0.049363636363636366
396,37,2012,9056,0.16465454545454544
397,37,2013,8298,0.15087272727272727
398,37,2014,7427,0.13503636363636365
399,37,2015,7142,0.12985454545454544
400,37,2016,6773,0.12314545454545454
401,37,2017,6445,0.11718181818181818
402,37,2018,6852,0.12458181818181818
403,37,2019,7825,0.14227272727272727
404,37,2020,6419,0.11670909090909092
405,37,2021,5895,0.10718181818181818
406,37,2022,5940,0.108
407,38,2012,3508,0.06378181818181818
408,38,2013,3405,0.06190909090909091
409,38,2014,2823,0.05132727272727273
410,38,2015,2940,0.053454545454545456
411,38,2016,2824,0.05134545454545455
412,38,2017,2736,0.049745454545454544
413,38,2018,2609,0.04743636363636364
414,38,2019,1833,0.033327272727272726
415,38,2020,1814,0.03298181818181818
416,38,2021,1993,0.036236363636363636
417,38,2022,2219,0.040345454545454545
418,39,2012,3056,0.055563636363636364
419,39,2013,2800,0.05090909090909091
420,39,2014,2461,0.04474545454545455
421,39,2015,2693,0.04896363636363636
422,39,2016,2632,0.047854545454545455
423,39,2017,2679,0.04870909090909091
424,39,2018,2511,0.045654545454545455
425,39,2019,2209,0.04016363636363637
426,39,2020,2088,0.037963636363636366
427,39,2021,1973,0.03587272727272727
428,39,2022,2531,0.04601818181818182
429,40,2012,3384,0.06152727272727273
430,40,2013,3102,0.0564
431,40,2014,2743,0.04987272727272727
432,40,2015,2535,0.04609090909090909
433,40,2016,2703,0.04914545454545455
434,40,2017,2833,0.05150909090909091
435,40,2018,2960,0.05381818181818182
436,40,2019,2755,0.05009090909090909
437,40,2020,2600,0.04727272727272727
438,40,2021,2573,0.04678181818181818
439,40,2022,3003,0.0546
440,41,2012,3503,0.06369090909090909
441,41,2013,3506,0.06374545454545455
442,41,2014,3394,0.06170909090909091
443,41,2015,3174,0.05770909090909091
444,41,2016,3335,0.060636363636363634
445,41,2017,2987,0.05430909090909091
446,41,2018,2963,0.053872727272727274
447,41,2019,2908,0.05287272727272727
448,41,2020,2286,0.041563636363636365
449,41,2021,2685,0.048818181818181816
450,41,2022,3025,0.055
451,42,2012,13831,0.2514727272727273
452,42,2013,13418,0.24396363636363635
453,42,2014,12004,0.21825454545454545
454,42,2015,12459,0.22652727272727272
455,42,2016,14783,0.2687818181818182
456,42,2017,17437,0.3170363636363636
457,42,2018,18170,0.33036363636363636
458,42,2019,16668,0.30305454545454547
459,42,2020,8000,0.14545454545454545
460,42,2021,9115,0.16572727272727272
461,42,2022,12669,0.23034545454545455
462,43,2012,4245,0.07718181818181818
463,43,2013,3910,0.0710909090909091
464,43,2014,3511,0.06383636363636364
465,43,2015,3221,0.058563636363636366
466,43,2016,3650,0.06636363636363636
467,43,2017,4018,0.07305454545454546
468,43,2018,4331,0.07874545454545455
469,43,2019,3080,0.056
470,43,2020,2129,0.03870909090909091
471,43,2021,2291,0.04165454545454546
472,43,2022,2670,0.048545454545454544
473,44,2012,5487,0.09976363636363636
474,44,2013,4984,0.09061818181818182
475,44,2014,4058,0.07378181818181818
476,44,2015,4041,0.07347272727272727
477,44,2016,4397,0.07994545454545454
478,44,2017,4008,0.07287272727272727
479,44,2018,4287,0.07794545454545454
480,44,2019,4234,0.07698181818181818
481,44,2020,2812,0.05112727272727273
482,44,2021,3228,0.05869090909090909
483,44,2022,3822,0.06949090909090909
484,45,2012,3489,0.06343636363636364
485,45,2013,3241,0.058927272727272724
486,45,2014,2903,0.05278181818181818
487,45,2015,2826,0.05138181818181818
488,45,2016,2796,0.05083636363636364
489,45,2017,2804,0.050981818181818184
490,45,2018,2774,0.05043636363636363
491,45,2019,2511,0.045654545454545455
492,45,2020,2403,0.04369090909090909
493,45,2021,2199,0.03998181818181818
494,45,2022,2689,0.04889090909090909
495,46,2012,4832,0.08785454545454545
496,46,2013,4061,0.07383636363636363
497,46,2014,3625,0.0659090909090909
498,46,2015,3486,0.06338181818181818
499,46,2016,3419,0.062163636363636365
500,46,2017,3496,0.06356363636363636
501,46,2018,3304,0.06007272727272727
502,46,2019,3260,0.059272727272727276
503,46,2020,2733,0.04969090909090909
504,46,2021,3009,0.05470909090909091
505,46,2022,3778,0.0686909090909091
506,47,2012,3324,0.060436363636363635
507,47,2013,3139,0.057072727272727275
508,47,2014,2649,0.04816363636363637
509,47,2015,2418,0.043963636363636364
510,47,2016,2649,0.04816363636363637
511,47,2017,2818,0.051236363636363635
512,47,2018,2659,0.048345454545454546
513,47,2019,2362,0.042945454545454544
514,47,2020,2348,0.04269090909090909
515,47,2021,2164,0.039345454545454545
516,47,2022,2618,0.0476
517,48,2012,3314,0.060254545454545456
