ca_id,comm_area,med_age,covid_idx,perc_chg_pop,perc_black_hispanic,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct
61,New City,33.10160771,59.7,-15.647415943233888,84.9392669923377,47.43240547575221,83.17412539130854,35396.3424,18005.11013,798.0487731,78.10716658220517,76.65201563744299,0.999017682,0.555383955
31,Lower West Side,33.07234766,48.9,-23.34718720901183,71.4005876591577,59.91980901077375,93.49236348776626,59889.22457,30761.85143,1017.211123,85.17115804806991,81.89366351056083,1.0,0.757894737
29,North Lawndale,32.67097967,58.5,-16.69699291323501,93.86777387416161,43.12999041839668,82.83471563981043,30960.59113,17708.19019,1019.907407,73.55507088331515,66.54463312042374,1.0,1.0
23,Humboldt Park,32.66518148,52.4,-17.727383194604776,88.525946214224,49.78952592783221,89.06815328952227,41535.65292,20336.54578,1071.519741,82.43498322147651,75.50859899328859,0.99980292,0.943404797
66,Chicago Lawn,32.6517204,57.8,-8.924965804728718,95.14665417715591,46.24241359795484,82.96758946657664,36277.83964,17620.09125,893.206951,80.12440584472742,76.91450032275101,0.999946663,0.998292058
24,West Town,32.62385816,18.2,0.3957225367415795,27.248717979084997,73.446173525824,96.57034589928756,112555.2091,68810.35002,1685.728831,85.77586206896551,84.46178937558247,1.0,1.0
35,Douglas,32.59378349,36.0,-23.343407631280698,70.47086247086247,46.43822843822844,86.22628250175686,35796.1165,28546.88932,1059.664819,91.62785989066613,86.84956468920835,1.0,1.0
32,The Loop,32.57892628,8.3,158.10349035879912,16.642510234698808,68.9653418770819,94.1560356905833,113599.1379,90269.15221,2231.053338,85.12057677964697,85.17444269495317,1.0,1.0
27,East Garfield Park,32.43991416,47.9,-4.257458933959102,89.64315352697095,41.200553250345784,81.02591647643347,23066.57224,16138.4229,928.7153652,71.20592743995911,63.643331630045985,1.0,1.0
22,Logan Square,32.39190816,27.7,-13.359124705313425,40.84540589010003,68.21567301818588,96.60477776758646,84653.4034,52299.251,1394.638305,87.58450945571236,86.91154936598437,1.0,1.0
30,South Lawndale,32.38064169,58.2,-21.600729101470282,93.75952160603688,38.68441660140955,91.19985277880015,36919.74596,14234.46978,836.1766319,76.96447256963475,71.39369176341621,0.997844944,0.747040498
62,West Elsdon,32.26247601,48.6,15.532943910558384,82.37866436322409,49.640986881174754,90.34257748776508,54185.77982,23006.96534,1005.755064,82.65500190186383,80.5439330543933,1.0,1.0
65,West Lawn,32.08806051,48.5,15.142808277749273,87.5722902804552,48.01629251912195,89.67817133976558,54757.83476,21706.25244,996.0526316,85.89355257464301,83.35136304630029,0.927448276,0.454832282
28,Near West Side,31.74387646,20.0,46.23537775479868,34.207845134997456,62.83749363219562,93.76773408998784,93202.49846,59634.86515,1755.633667,81.51718851347367,80.34082198242821,1.0,1.0
6,Lake View,31.50931929,5.2,8.68304207051478,13.217257562014433,74.1491501360571,96.48840548877779,91941.20988,74366.38873,1570.31014,90.33627276034719,88.39243949342527,1.0,1.0
40,Washington Park,31.47073922,41.2,-10.17248692209812,93.91004123909083,42.39953965666059,82.08550101786926,23351.06383,16193.1289,944.1919192,77.05108359133128,69.87229102167183,1.0,1.0
58,Brighton Park,31.175095,48.5,0.3139472746704667,81.23244710728328,47.00898708107096,89.24126257094494,45781.71091,18312.79428,874.8424842,79.19364331959976,75.49293702177752,0.941762712,0.836682028
7,Lincoln Park,30.5704314,7.3,9.595771144278608,10.040535878564857,65.87080266789329,96.8772504091653,117048.0738,90189.4832,1746.473605,86.33961203261175,85.60303626651672,0.999331703,0.994723449
41,Hyde Park,30.51812367,16.7,-1.5508021390374331,31.945747060096675,56.157564389293704,93.4224049331963,52422.56637,48606.06637,1237.5,88.04831961128357,86.07774328519369,1.0,1.0
63,Gage Park,29.28865696,58.8,0.8853621820223,95.64305949008498,45.8328611898017,83.75054082452561,42271.4808,16154.70878,842.7777778,78.80807495411958,76.36433883898387,0.999693228,0.807699638
54,Riverdale,25.86317136,35.6,-25.965949638087473,99.02886431076342,40.82816293498786,70.13544763792534,19676.96629,14175.67494,421.1956522,94.96630994847403,89.179548156956,0.0,0.0
