comm_area,ca_id,pop,long,lat,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
South Lawndale,30,71402,-87.714,41.839091,-0.5284809274705853,2.4404751323157017,-0.10584590697468538,-0.1362450793333239,0.001280004282975451,-0.20406994404972362,0.9020547422411582,0.05077431525343477,-0.1491866302485298,0.5829987605458239,-0.5852391855074726,-0.6894816163075892
Irving Park,16,51911,-87.723457,41.953589,-0.5578621775898884,0.234782759962337,0.9212422638555107,-0.5297891934672418,-0.6548534162994526,0.23686239488589553,0.36727282638442116,-0.8247237338554545,0.4001251670379573,-0.8513892119979567,-0.7500857333881908,-0.46207081840551417
Dunning,17,43120,-87.806015,41.946522,-0.5578621775898884,0.17328467797882358,1.0543833230372033,-0.9327219766291589,-0.864865084168673,0.0930801104503676,0.25278594811759475,-1.0295624002851909,1.5638606114211562,-1.1290956095579592,-0.8747258061760511,-0.38971283725485406
Hegewisch,55,9884,-87.556803,41.668188,-0.5578621775898884,-0.07982309822406064,-0.46722878189642153,-0.15996446328463326,0.58818252111746,1.6842707248702102,0.30797123444968144,-0.26698746421424646,-0.20138529818961495,-0.1340587836432867,-0.3118351548760372,-0.0951124854271661
West Ridge,2,77139,-87.695017,42.001583,-0.5872434277091916,1.1208821172368026,-0.0678056043513456,-0.4962536957016732,-0.34557493060761346,-0.2519973721948996,-0.09568402131995066,-0.08902282660147749,-0.25205489568465206,0.2630229723115884,-0.7460650858789051,-1.009924104260513
Beverly,72,19950,-87.675072,41.713148,-0.6166246778284947,-1.5817000110506747,1.558417332796466,-0.5429229406072836,-0.940458014499743,2.4702805464510966,2.471175775565228,-1.1465432416626802,0.18412802119940763,-1.9616056135137732,-0.557094652942472,-0.8238607241588153
Loop,32,39135,-87.625194,41.878881,-0.6460059279477982,-1.535266284230266,1.0448732473813673,0.5209082961101907,-1.1643554963732405,-0.1753134871626176,-0.7691052664356622,-1.3512841668094957,2.046810815411799,-1.1824429544287198,-0.9390561663246242,-0.684313189082542
Hyde Park,41,23914,-87.592305,41.794088,-0.6460059279477982,-0.9942580162413469,1.17801430656306,-0.2619689345454684,-0.8384014790423323,0.658623762563444,-0.10977763712042471,-0.9689093735076205,1.8338976547091301,0.48418810568867166,-0.8666845111574796,-1.0409346676107958
Bridgeport,60,33593,-87.648784,41.836151,-0.6753871780671014,-0.1852479040756298,0.2840671949145553,-0.7482861760247972,-0.6838168084361157,0.8695044464022186,-0.5470189084061434,-0.7463712902798789,0.577337119559736,-1.003109155078209,-0.8023541510089066,-0.6481341985072119
East Side,52,21529,-87.534907,41.707306,-0.7341496783057079,0.6668885674375505,-0.5147791601755973,-0.4377115911628019,0.4207607681013064,-1.593965360259827,-1.4417929417455424,-0.04989705137002917,-0.4994225563580507,-0.9311084364021265,-0.4404958751731833,-0.5292603723311272
North Park,13,17522,-87.723578,41.983651,-0.763530928425011,0.031000950494395718,0.3506377245054016,-0.5512180555838663,-0.7527009224650326,1.1091415871280985,1.9627288143394066,-0.5187351162641726,0.19983739604400236,-0.618145277072245,-0.8184367410460498,-1.0305978131607016
