,sch_id,ca_id,fin_id,tot_student,perc_low_income,perc_black_his_stu,School Name_x,pre_cov_att,post_cov_att,att_diff_pp,school_name,teachers_fte_crdc,counselors_fte,social_workers_fte,psychologists_fte,salaries_teachers,teachers_per_100_stu,help_per_100_stu,salary_per_teach,Student Mobility Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Teacher Retention Rate,dolla_per_student,pre_att_bucket,post_att_bucket
86,610524,46,70241,353,0.6940509915014165,0.8130311614730878,ALCOTT HS,90.6625,82.0875,8.574999999999989,,,,,,,,,,,,,,13024.552407932011,high,high
87,400104,33,63131,622,0.842443729903537,0.9871382636655948,INSTITUTO - HEALTH,87.5625,88.4,-0.8375000000000057,,,,,,,,,,,,,,15378.918006430868,high,high
88,609725,74,46251,1075,0.7488372093023256,0.9897674418604652,MORGAN PARK HS,83.42500000000001,74.7625,8.662500000000009,Morgan Park High School,87.0,2.0,0.0,0.0,5894077.0,8.093023255813954,0.1860465116279069,67748.01149425287,5.2,67.2,2.4,87.4,11565.167441860465,low,low
89,609780,23,41111,686,0.9300291545189504,0.9693877551020408,MARINE LEADERSHIP AT AMES HS,93.25,85.35,7.900000000000006,Marine Leadership Academy - Ames,60.0,3.0,0.0,0.0,3839908.0,8.746355685131196,0.4373177842565597,63998.46666666667,2.4,45.9,0.5,93.0,14365.010204081633,high,high
90,400157,42,66577,266,0.7744360902255639,0.9774436090225564,NOBLE - BAKER HS,90.25,74.2875,15.962500000000006,,,,,,,,,,,,,,12934.097744360903,high,low
91,609676,1,53021,447,0.9351230425055927,0.9910514541387024,DUNBAR HS,85.075,68.7625,16.3125,,,,,,,,,,,,,,14801.434004474273,low,low
92,610558,69,46611,961,0.8616024973985432,0.9947970863683664,GOODE HS,88.3,84.3125,3.987499999999997,,,,,,,,,,,,,,11176.231009365245,high,high
93,610394,31,26861,97,0.711340206185567,0.8041237113402062,UPLIFT HS,85.1,70.86250000000001,14.237499999999985,,,,,,,,,,,,,,47957.36082474227,low,low
94,610587,7,46681,523,0.722753346080306,0.9904397705544932,DYETT ARTS HS,92.03333333333332,81.4,10.633333333333326,,,,,,,,,,,,,,13239.933078393882,high,high
95,609727,1,46261,441,0.7709750566893424,0.9206349206349206,PHILLIPS HS,82.3125,59.825,22.4875,,,,,,,,,,,,,,17896.031746031746,low,low
96,400121,20,66134,518,0.7625482625482626,0.9517374517374516,ACERO - DE LA CRUZ,92.9125,84.1375,8.774999999999991,,,,,,,,,,,,,,16127.496138996139,high,high
97,609733,10,46301,664,0.7725903614457831,0.7289156626506024,SULLIVAN HS,84.65,76.19999999999999,8.450000000000017,,,,,,,,,,,,,,14163.951807228916,low,low
98,400055,25,66143,651,0.7357910906298003,0.9615975422427036,NOBLE - RAUNER HS,93.0625,80.30000000000001,12.762499999999989,,,,,,,,,,,,,,14672.485407066053,high,high
99,400176,64,63144,101,0.7821782178217822,0.9702970297029704,EXCEL SOUTHWEST HS,73.9375,64.93333333333334,9.004166666666663,,,,,,,,,,,,,,20994.673267326732,low,low
100,610334,28,46471,177,0.9152542372881356,0.9887005649717514,RABY HS,81.80000000000001,66.6875,15.112500000000011,,,,,,,,,,,,,,27450.06779661017,low,low
101,400097,29,66572,1157,0.8807260155574762,0.9844425237683664,NOBLE - BULLS HS,93.225,80.76249999999999,12.462500000000006,,,,,,,,,,,,,,13773.08988764045,high,high
102,610565,66,63142,220,0.7909090909090909,0.9863636363636364,EXCEL ENGLEWOOD HS,71.5875,71.975,-0.3874999999999886,,,,,,,,,,,,,,17156.831818181818,low,low
103,400034,13,66241,891,0.77665544332211,0.6790123456790124,CICS - NORTHTOWN HS,93.975,93.7625,0.2125000000000056,CICS - Northtown  Campus,64.0,2.0,2.0,0.5,2357776.0,7.182940516273851,0.5050505050505051,36840.25,2.7,8.9,0.8,0.0,15730.901234567902,high,high
104,609712,67,47031,104,0.625,0.9903846153846154,HIRSCH HS,78.325,64.45,13.875,,,,,,,,,,,,,,29682.30769230769,low,low
105,400137,5,63161,83,0.8072289156626506,0.9879518072289156,LITTLE BLACK PEARL HS,78.7875,82.9,-4.112500000000011,Little Black Pearl Arts Acad HS,8.0,0.0,1.0,1.0,527102.0,9.63855421686747,2.409638554216868,65887.75,,,,,23040.22891566265,low,high
106,400143,24,66627,70,0.8285714285714286,0.9714285714285714,YCCS - WEST TOWN,60.65,62.96666666666667,-2.31666666666667,,,,,,,,,,,,,,661.3428571428572,low,low
107,609745,65,49031,350,0.8457142857142858,0.9628571428571427,SOUTHSIDE HS,89.30000000000001,81.55,7.750000000000014,,,,,,,,,,,,,,30652.125714285714,high,high
108,609751,5,46371,586,0.8054607508532423,0.9709897610921502,KING HS,88.9875,90.4375,-1.4500000000000028,,,,,,,,,,,,,,12997.098976109215,high,high
109,400032,70,66072,205,0.8634146341463415,0.9951219512195122,CICS - ELLISON HS,88.5875,80.275,8.3125,CICS - Ralph Ellison Campus,17.0,0.0,0.5,0.5,784568.0,8.292682926829269,0.4878048780487805,46151.05882352941,5.1,68.4,2.0,0.0,15125.024390243903,high,high
110,610570,64,65014,262,0.8206106870229007,0.9809160305343512,OMBUDSMAN - SOUTH HS,56.8125,44.5625,12.25,,,,,,,,,,,,,,24553.41603053435,low,low
111,400056,24,66144,375,0.88,0.992,NOBLE - ROWE CLARK HS,89.76249999999999,72.5375,17.224999999999994,,,,,,,,,,,,,,16490.357333333333,high,low
112,609718,53,46201,1621,0.6711906230721777,0.850709438618137,KENNEDY HS,89.15,81.19999999999999,7.950000000000017,,,,,,,,,,,,,,10175.724244293646,high,high
113,610383,32,55171,287,0.8989547038327527,0.9930313588850174,SOCIAL JUSTICE HS,88.225,76.25,11.974999999999994,,,,,,,,,,,,,,16630.205574912892,high,low
114,609741,63,46341,1711,0.8854471069549971,0.9848042080654588,HUBBARD HS,90.1125,84.2,5.9125000000000085,,,,,,,,,,,,,,10597.203974284044,high,high
115,609759,25,51091,595,0.826890756302521,0.9512605042016806,CLEMENTE HS,80.05,68.5125,11.537499999999994,,,,,,,,,,,,,,16137.887394957983,low,low
116,610499,30,49131,214,0.9532710280373832,0.9953271028037384,COLLINS HS,83.8625,70.9625,12.899999999999991,,,,,,,,,,,,,,21391.228971962617,low,low
117,609704,32,53091,453,0.9315673289183224,0.9801324503311258,FARRAGUT HS,86.5875,70.3375,16.25,,,,,,,,,,,,,,21831.973509933774,high,low
118,400066,1,66056,407,0.8255528255528255,0.972972972972973,PERSPECTIVES - MATH & SCI HS,89.55000000000001,73.6,15.950000000000015,Perspectives Chtr -  IIT Campus,54.0,0.0,2.0,0.0,1076768.0,13.267813267813269,0.4914004914004914,19940.14814814815,4.6,82.4,1.3,0.0,14285.42751842752,high,low
119,610244,26,41051,450,0.9755555555555556,0.9955555555555556,CLARK HS,90.55,71.0875,19.46250000000001,,,,,,,,,,,,,,17607.413333333334,high,low
120,400150,40,66631,119,0.7899159663865546,1.0,YCCS - CHATHAM,68.525,56.766666666666666,11.75833333333334,YCCS Chtr - Chatham,7.0,1.0,0.0,0.0,210283.0,5.88235294117647,0.8403361344537815,30040.42857142857,44.6,78.6,30.4,40.0,833.4705882352941,low,low
121,400061,70,66052,643,0.8740279937791602,0.9922239502332816,PERSPECTIVES - LEADERSHIP HS,91.4875,81.5,9.987499999999995,Perspectives Chtr - Leadership Acad,49.0,0.0,1.95,0.0,1146355.0,7.620528771384137,0.3032659409020217,23395.0,4.0,72.8,0.8,0.0,12627.298600311042,high,high
122,609722,28,53111,71,0.7464788732394366,1.0,MANLEY HS,75.45,60.5,14.950000000000005,,,,,,,,,,,,,,44462.35211267605,low,low
123,609738,68,46321,2063,0.4498303441589917,0.5302956858943286,LINCOLN PARK HS,89.9625,86.5,3.4625000000000057,Lincoln Park High School,131.0,6.0,0.0,0.0,8871627.0,6.349975763451285,0.290838584585555,67722.34351145038,4.3,47.7,1.6,92.1,9801.507998061075,high,high
124,609694,60,46021,1003,0.6889332003988036,0.9142572283150548,HANCOCK HS,91.525,92.55,-1.0250000000000057,,,,,,,,,,,,,,10025.139581256231,high,high
125,400115,64,66433,552,0.8405797101449275,0.9655797101449276,CATALYST - MARIA,94.9375,90.6625,4.275000000000006,Catalyst Charter - Maria ES,78.0,2.0,2.0,1.0,3909536.0,14.130434782608695,0.9057971014492754,50122.256410256414,2.2,26.3,1.3,79.0,29970.827898550724,high,high
126,400124,1,66107,66,0.803030303030303,1.0,YCCS - MCKINLEY,62.30833333333334,69.9,-7.591666666666669,YCCS- McKinley-Lakeside Leadership Academy,10.0,1.0,0.0,0.0,322390.0,15.151515151515152,1.5151515151515151,32239.0,49.7,68.6,14.5,67.9,1016.969696969697,low,low
127,400057,29,66147,876,0.8047945205479452,0.9440639269406392,NOBLE - UIC HS,93.0375,83.175,9.862499999999995,,,,,,,,,,,,,,14923.615296803653,high,high
128,609713,9,46171,701,0.9072753209700428,0.9914407988587732,HYDE PARK HS,86.82499999999999,79.0375,7.787499999999994,,,,,,,,,,,,,,14710.22539229672,high,high
129,609734,36,46311,4296,0.4888268156424581,0.4632216014897579,TAFT HS,89.325,85.2625,4.0625,,,,,,,,,,,,,,8568.71997206704,high,high
